,Food label,Subs A,Food Nutri-Value,Subs A Nutri-Value,Subs B,Subs B Nutri-Value
74,"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O","PREGO PASTA,H ST- RSTD RED PR GRLIC ITLIAN SAU,RTS",4,2,"SOUP,BF & VEG,CND,RTS",1
75,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","GRAVY,ONION,DRY,MIX",7,5,"SAUCE,PIZZA,CND,RTS",0
76,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND",16,6,"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",1
77,"BOLOGNA,BF","PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED",18,16,"BOLOGNA,MEAT & POULTRY",15
78,SALAMI  CKD  BF,"HAM,MINCED",17,15,FRANKFURTER  MEAT,15
79,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK","FRANKFURTER,PORK",19,15,"SANDWICH SPREAD,PORK,BEEF",13
80,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",SAUSAGE  BERLINER  PORK  BF,17,13,"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",5
81,"BEEF SAUSAGE,PRE-COOKED","LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",19,17,"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",5
82,"KIELBASA,FULLY CKD,GRILLED","SMOKED LINK SAUSAGE,PORK",18,16,"MEATBALLS,FRZ,ITALIAN STYLE",10
83,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES","CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY",20,6,"CEREALS RTE,OAT BRAN FLAKES,HEALTH VALLEY",2
84,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES","CEREALS RTE,QUAKER,MAPLE BROWN SUGAR LIFE CRL",5,4,"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",-1
85,"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS","CEREALS RTE,GENERAL MILLS,OAT CLUSTER CHEERIOS CRUNCH",14,5,"CEREALS RTE,GENERAL MILLS,FIBER ONE BRAN CRL",-4
86,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL","CEREALS RTE,POST BRAN FLAKES",12,3,"CEREALS RTE,POST,SHREDDED WHEAT,ORIGINAL BIG BISCUIT",-6
87,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS","CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",14,1,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",-2
88,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)","PEACHES,RAW",1,0,"BLUEBERRIES,RAW",0
89,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS",2,0,"KIWIFRUIT,GRN,RAW",-2
90,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS",4,0,"KIWIFRUIT,GRN,RAW",-2
91,"BANANAS,DEHYD,OR BANANA PDR","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",7,3,"FIGS,DRIED,STEWED",2
92,"CHERRIES,TART,DRIED,SWTND","CRANBERRIES,DRIED,SWTND",12,8,"APPLES,CND,SWTND,SLICED,DRND,HTD",1
93,"CRANBERRIES,DRIED,SWTND","BLUEBERRIES,DRIED,SWTND",8,7,"LIME JUICE,RAW",0
94,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS",2,0,"KIWIFRUIT,GRN,RAW",-2
95,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS",3,0,"KIWIFRUIT,GRN,RAW",-2
96,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW","RASPBERRIES,CND,RED,HVY SYRUP PK,SOL&LIQUIDS",3,2,"BOYSENBERRIES,FRZ,UNSWTND",-4
97,"LITCHIS,RAW","TANGERINES,(MANDARIN ORANGES),CND,JUC PK",2,1,"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",1
98,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)","PINEAPPLE,CND,JUC PK,SOL&LIQUIDS",7,3,"FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS",0
99,"TANGERINE JUICE,RAW","PEARS,CND,JUC PK,SOL&LIQUIDS",2,1,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
100,"PAPAYA NECTAR,CANNED","POMEGRANATE JUC,BTLD",3,2,"APPLES,CND,SWTND,SLICED,DRND,HTD",1
101,"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS",3,2,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
102,"PEACHES,DRIED,SULFURED,UNCKD","PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS",4,3,"PEARS,CND,HVY SYRUP,DRND",1
103,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND",2,1,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
104,"PEARS,DRIED,SULFURED,UNCKD","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",7,3,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
105,"PEAR NECTAR,CND,WO/ VIT C","PEACH NECTAR,CND,WO/ VIT C",3,2,"PERSIMMONS,JAPANESE,RAW",-1
106,"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS","PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",2,1,"PINEAPPLE,RAW,ALL VAR",1
107,"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS","PINEAPPLE,RAW,ALL VAR",3,1,"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",1
108,"PINEAPPLE,FRZ,CHUNKS,SWTND","STRAWBERRIES,RAW",4,-1,"BLACKBERRIES,RAW",-4
109,"PINEAPPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C","ORANGE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",2,1,"CHERRIES,SOUR,RED,FRZ,UNSWTND",1
110,"PLUMS,RAW","BLUEBERRIES,RAW",1,0,"RASPBERRIES,RAW",-5
111,"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS","PEARS,CND,LT SYRUP PK,SOL&LIQUIDS",2,1,"PEARS,CND,JUC PK,SOL&LIQUIDS",1
112,"PLUMS,DRIED (PRUNES),UNCKD","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",4,3,"FIGS,DRIED,STEWED",2
113,"RAISINS,SEEDLESS","CRANBERRIES,DRIED,SWTND",9,8,"BLUEBERRIES,DRIED,SWTND",7
114,"RASPBERRIES,CND,RED,HVY SYRUP PK,SOL&LIQUIDS","STRAWBERRIES,FRZ,UNSWTND",2,-1,"BOYSENBERRIES,FRZ,UNSWTND",-4
115,"RASPBERRIES,FRZ,RED,SWTND","BLACKBERRIES,FRZ,UNSWTND",1,-3,"BOYSENBERRIES,FRZ,UNSWTND",-4
116,"STRAWBERRIES,RAW","ORANGES,RAW,CALIFORNIA,VALENCIAS",-1,-2,"BLACKBERRIES,RAW",-4
117,"STRAWBERRIES,FRZ,UNSWTND","BLACKBERRIES,FRZ,UNSWTND",-1,-3,"BOYSENBERRIES,FRZ,UNSWTND",-4
118,"PEACHES,CND,HVY SYRUP,DRND","PEACHES,CND,JUC PK,SOL&LIQUIDS",2,1,"PEARS,CND,JUC PK,SOL&LIQUIDS",1
119,"PLUMS,CND,HVY SYRUP,DRND","TANGERINE JUICE,RAW",4,2,"PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",1
120,"DATES,MEDJOOL","BLUEBERRIES,RAW",7,0,"RAISINS,SEEDED",-3
121,"MANGO NECTAR,CND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",2,1,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND",1
122,"JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C","PEACHES,CND,JUC PK,SOL&LIQUIDS",2,1,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND",1
123,"JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA","FIGS,RAW",2,0,"Grapes, muscadine, raw",-4
124,ORANGE PNAPPL JUC BLEND,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND",2,1,"PEACHES,CND,JUC PK,SOL&LIQUIDS",1
125,"PORK,FRSH,CARCASS,LN&FAT,RAW","PORK,FRSH,LOIN,SIRLOIN (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",9,1,"PORK,GROUND,96% LN / 4% FAT,CKD,PAN-BROILED",-2
126,"PORK,FRSH,FAT,RAW","PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN & FAT,BONE-IN,CKD,BRLD",12,3,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,RAW",-1
127,"PORK,FRSH,SHLDR,ARM PICNIC,LN,CKD,RSTD","PORK,FRSH,COMP OF RTL CUTS (LEG,LOIN,&SHLDR),LN,CKD",1,0,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,RAW",-3
128,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,CKD,BRSD","PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRLD",2,1,"PORK,FRSH,SHLDR,ARM PICNIC,LN,RAW",-3
129,"PORK,CURED,BRKFST STRIPS,RAW OR UNHTD","PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",19,1,"PORK,FRSH,LOIN,TENDERLOIN,LN&FAT,CKD,BRLD",-1
130,"PORK,CURED,SHLDR,BLADE ROLL,LN&FAT,RSTD","PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN&FAT,CKD,RSTD",16,-1,"PORK,SHLDR,PETITE TENDER,BNLESS,LN & FAT,CKD,BRLD",-3
131,"PORK,CURED,HAM,BNLESS,EX LN&REG,RSTD","PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",9,-2,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BNLESS,LN,RAW",-4
132,"PORK,CURED,BACON,CKD,BKD","PORK,CURED,SHLDR,ARM PICNIC,LN&FAT,RSTD",21,15,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,FEET,RAW",1
133,"PORK,CURED,BACON,PRE-SLICED,CKD,PAN-FRIED","PORK,FRSH,SHLDR,ARM PICNIC,LN,CKD,RSTD",20,1,"PORK,FRSH,COMP OF RTL CUTS (LEG,LOIN,&SHLDR),LN,CKD",0
134,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN,UNHTD","PORK,FRSH,LOIN,BLADE (ROASTS),BNLESS,LN,CKD,RSTD",6,-1,"PORK,LEG CAP STEAK,BNLESS,LN & FAT,RAW",-3
135,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BONE-IN,LN,UNHTD","PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",7,1,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN & FAT,RAW",1
136,"PORK,CURED,HAM,FAT,BNLESS,UNHTD","PORK,GROUND,72% LN / 28% FAT,CKD,PAN-BROILED",18,10,"PORK,CURED,HAM -- H2O ADDED,SLICE,BNLESS,LN,HTD,PAN-BROIL",7
137,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN,CKD,RSTD",10,1,"PORK,SHLDR PETITE TENDER,BNLESS,LN & FAT,RAW",-3
138,"PORK,CURED,HAM -- H2O ADDED,RUMP,BONE-IN,LN & FAT,UNHTD","PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN & FAT,HTD,RSTD",11,8,"PORK,CURED,HAM W/ NAT JUICES,WHL,BNLESS,LN,UNHTD",6
139,"PORK,CURED,HAM W/ NAT JUICES,RUMP,BONE-IN,LN & FAT,HTD,RSTD","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STKS),LN & FAT,CKD,BRSD",9,4,"PORK,FRSH,LOIN,BLADE (CHOPS),BNLESS,LN,BNLESS,CKD,BRLD",-2
140,"PORK,CURED,HAM,RUMP,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LOIN,SIRLOIN (ROASTS),BONE-IN,LN,CKD,RSTD",8,-1,"PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BNLESS,LN,RAW",-2
141,"AMARANTH LEAVES,RAW","SPINACH,RAW",-1,-3,"ENDIVE,RAW",-3
142,"ARROWHEAD,RAW","BURDOCK ROOT,RAW",-2,-3,"TARO,RAW",-3
143,"BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT","BAMBOO SHOOTS,CND,DRND SOL",-1,-2,"CABBAGE,SAVOY,RAW",-4
144,"BEET GREENS,RAW","TURNIP GREENS,RAW",-2,-3,"CHIVES,RAW",-4
145,"BROCCOLI,RAW",POTATO FLOUR,-3,-5,"BRUSSELS SPROUTS,RAW",-6
146,"BUTTERBUR,(FUKI),RAW","LETTUCE,GRN LEAF,RAW",0,-1,"LETTUCE,COS OR ROMAINE,RAW",-2
147,"CABBAGE,RAW","BROCCOLI,RAW",-2,-3,"BRUSSELS SPROUTS,RAW",-6
148,"CABBAGE,RED,RAW","BROCCOLI,RAW",-2,-3,"BRUSSELS SPROUTS,RAW",-6
149,"CABBAGE,CHINESE (PAK-CHOI),RAW","CABBAGE,RED,RAW",-1,-2,"BRUSSELS SPROUTS,RAW",-6
150,"CARDOON,RAW","LETTUCE,GRN LEAF,RAW",0,-1,"LETTUCE,COS OR ROMAINE,RAW",-2
151,"CARROTS,RAW","BEANS,SNAP,GREEN,RAW",-1,-3,"CHIVES,RAW",-4
152,"CELERY,CKD,BLD,DRND,WO/SALT","YARDLONG BEAN,CKD,BLD,DRND,WO/SALT",0,-1,"CARROTS,CND,NO SALT ,DRND SOL",-1
153,"CELTUCE,RAW","WINGED BEAN LEAVES,RAW",-1,-3,"CHICORY GREENS,RAW",-5
154,"CHARD,SWISS,RAW","AMARANTH LEAVES,RAW",0,-1,"CHIVES,RAW",-4
155,"CHAYOTE,FRUIT,RAW","SWAMP CABBAGE,(SKUNK CABBAGE),RAW",-1,-2,"BAMBOO SHOOTS,RAW",-3
156,"CHICORY ROOTS,RAW","BURDOCK ROOT,RAW",0,-3,"LOTUS ROOT,RAW",-6
157,"CORIANDER (CILANTRO) LEAVES,RAW","MUSTARD GREENS,RAW",-3,-4,"CHIVES,FREEZE-DRIED",-7
158,"CORN,SWT,YEL,CND,VACUUM PK,REG PK","HYACINTH-BEANS,IMMAT SEEDS,RAW",0,-4,"BEANS,SNAP,YELLOW,RAW",-4
159,"CRESS,GARDEN,RAW","BROCCOLI,RAW",-2,-3,"BRUSSELS SPROUTS,RAW",-6
160,"CUCUMBER,WITH PEEL,RAW","SQUASH,SMMR,ALL VAR,RAW",0,-1,"CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",-2
161,"ENDIVE,RAW","CHIVES,RAW",-3,-4,"SWEET POTATO LEAVES,RAW",-6
