,Food label,Substitution label
6482,"BOLOGNA,PORK",PASTRAMI  BF  98% FAT-FREE
6482,"BOLOGNA,PORK",PASTRAMI  BF  98% FAT-FREE
5731,FRANKFURTER  MEAT,"PICNIC LOAF,PORK,BEEF"
5731,FRANKFURTER  MEAT,"PICNIC LOAF,PORK,BEEF"
7046,"KIELBASA,FULLY CKD,GRILLED",FRANKFURTER  BF  HTD
7046,"KIELBASA,FULLY CKD,GRILLED",FRANKFURTER  BF  HTD
104,"APPLES,CND,SWTND,SLICED,DRND,HTD","ORANGE PEEL,RAW"
104,"APPLES,CND,SWTND,SLICED,DRND,HTD","ORANGE PEEL,RAW"
48,"BLACKBERRY JUC,CND","APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS"
48,"BLACKBERRY JUC,CND","APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS"
315,"CHERRIES,TART,DRIED,SWTND","PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS"
7012,"CHERRIES,TART,DRIED,SWTND","APPLES,RAW,RED DELICIOUS,W/ SKN"
1096,"CURRANTS,ZANTE,DRIED","PEARS,RAW,RED ANJOU"
1096,"CURRANTS,ZANTE,DRIED","PEARS,RAW,RED ANJOU"
941,"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C","PEACH NECTAR,CND,W/ VIT C"
6925,"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C","APRICOTS,RAW"
334,"BLUEBERRIES,DRIED,SWTND","APPLESAUCE,CND,SWTND,W/SALT"
334,"BLUEBERRIES,DRIED,SWTND","APPLESAUCE,CND,SWTND,W/SALT"
12,"PAPAYA NECTAR,CANNED","FRUIT COCKTAIL,CND,JUC PK,SOL&LIQUIDS"
12,"PAPAYA NECTAR,CANNED","FRUIT COCKTAIL,CND,JUC PK,SOL&LIQUIDS"
3385,"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS","GUAVA SAUCE,COOKED"
3409,"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS","MAMMY-APPLE,(MAMEY),RAW"
7861,"PEARS,RAW","ABIYUCH,RAW"
7861,"PEARS,RAW","ABIYUCH,RAW"
1698,"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS","APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C"
1698,"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS","APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C"
7248,"RAISINS,SEEDLESS","CHERRIES,SOUR,RED,CND,EX HVY SYRUP PK,SOL&LIQUIDS"
3455,"RAISINS,SEEDLESS","PRICKLY PEARS,RAW"
6976,"RAISINS,SEEDED","BLACKBERRIES,RAW"
6976,"RAISINS,SEEDED","BLACKBERRIES,RAW"
1704,"STRAWBERRIES,RAW","APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR"
1704,"STRAWBERRIES,RAW","APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR"
1705,"BLUEBERRIES,CND,LT SYRUP,DRND","LEMON PEEL,RAW"
1705,"BLUEBERRIES,CND,LT SYRUP,DRND","LEMON PEEL,RAW"
8703,"AMARANTH LEAVES,RAW","CORN,SWT,WHITE,CND,WHL KERNEL,DRND SOL"
4723,"AMARANTH LEAVES,RAW","BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS"
5782,"BAMBOO SHOOTS,RAW","MUSTARD GREENS,RAW"
5782,"BAMBOO SHOOTS,RAW","MUSTARD GREENS,RAW"
8921,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW","POTATOES,BLD,CKD IN SKN,SKN,WO/SALT"
8921,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW","POTATOES,BLD,CKD IN SKN,SKN,WO/SALT"
8986,"BEANS,SNAP,GREEN,RAW","VEGETABLES,MXD,FRZ,UNPREP"
8986,"BEANS,SNAP,GREEN,RAW","VEGETABLES,MXD,FRZ,UNPREP"
4794,"BEET GREENS,RAW","ARTICHOKES,(GLOBE OR FRENCH),RAW"
4794,"BEET GREENS,RAW","ARTICHOKES,(GLOBE OR FRENCH),RAW"
1454,"BROCCOLI,RAW","BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT"
7589,"BROCCOLI,RAW","DRUMSTICK LEAVES,RAW"
2030,"CABBAGE,RED,RAW","COWPEAS,LEAFY TIPS,RAW"
2033,"CABBAGE,RED,RAW","COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/ SALT"
7438,"CABBAGE,CHINESE (PAK-CHOI),RAW","POTATOES,CND,DRND SOL,NO SALT"
1477,"CABBAGE,CHINESE (PAK-CHOI),RAW","LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT"
5132,"CASSAVA,RAW","LETTUCE,GRN LEAF,RAW"
5132,"CASSAVA,RAW","LETTUCE,GRN LEAF,RAW"
8952,"CELERY,RAW","ENDIVE,RAW"
8952,"CELERY,RAW","ENDIVE,RAW"
4904,"CHARD,SWISS,RAW","MALABAR SPINACH,COOKED"
4731,"CHARD,SWISS,RAW","CAULIFLOWER,GRN,CKD,NO SALT ADDED"
5384,"CHAYOTE,FRUIT,RAW","CAULIFLOWER,GRN,CKD,NO SALT ADDED"
5384,"CHAYOTE,FRUIT,RAW","CAULIFLOWER,GRN,CKD,NO SALT ADDED"
2620,"CHIVES,RAW","SEAWEED,AGAR,DRIED"
8401,"CHIVES,RAW","BRUSSELS SPROUTS,RAW"
2793,"CRESS,GARDEN,RAW","CORN,SWT,YEL,FRZ,KRNLS CUT OFF COB,UNPREP"
2793,"CRESS,GARDEN,RAW","CORN,SWT,YEL,FRZ,KRNLS CUT OFF COB,UNPREP"
8798,"EGGPLANT,RAW","FENNEL,BULB,RAW"
8798,"EGGPLANT,RAW","FENNEL,BULB,RAW"
4999,"ENDIVE,RAW","PEAS,GRN,CKD,BLD,DRND,W/SALT"
4999,"ENDIVE,RAW","PEAS,GRN,CKD,BLD,DRND,W/SALT"
8526,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW","POTATOES,MICROWAVED,CKD IN SKN,SKN,WO/SALT"
8526,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW","POTATOES,MICROWAVED,CKD IN SKN,SKN,WO/SALT"
2565,"ONIONS,RAW","CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT"
2609,"ONIONS,RAW","COLLARDS,FRZ,CHOPD,UNPREP"
2549,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW","OKRA,CKD,BLD,DRND,WO/SALT"
7769,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW","PEPPERS,SERRANO,RAW"
2586,"ONIONS,YOUNG GRN,TOPS ONLY","BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT"
2586,"ONIONS,YOUNG GRN,TOPS ONLY","BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT"
2646,"ONIONS,SWT,RAW","CORIANDER (CILANTRO) LEAVES,RAW"
2646,"ONIONS,SWT,RAW","CORIANDER (CILANTRO) LEAVES,RAW"
1308,"PEPPERS,SWT,GRN,RAW","SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT"
1308,"PEPPERS,SWT,GRN,RAW","SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT"
8372,POTATO FLOUR,"TARO LEAVES,RAW"
8372,POTATO FLOUR,"TARO LEAVES,RAW"
3498,"SEAWEED,AGAR,RAW","BEANS,SHELLIE,CND,SOL & LIQUIDS"
3498,"SEAWEED,AGAR,RAW","BEANS,SHELLIE,CND,SOL & LIQUIDS"
3465,"SEAWEED,KELP,RAW","SALSIFY,CKD,BLD,DRND,W/SALT"
3465,"SEAWEED,KELP,RAW","SALSIFY,CKD,BLD,DRND,W/SALT"
8570,"SPINACH,RAW","ENDIVE,RAW"
8570,"SPINACH,RAW","ENDIVE,RAW"
4559,"SWEET POTATO LEAVES,RAW","LAMBSQUARTERS,RAW"
4559,"SWEET POTATO LEAVES,RAW","LAMBSQUARTERS,RAW"
3443,"TOMATOES,GREEN,RAW","BALSAM-PEAR (BITTER GOURD),PODS,RAW"
3443,"TOMATOES,GREEN,RAW","BALSAM-PEAR (BITTER GOURD),PODS,RAW"
8040,"TOMATO JUC,CND,W/SALT","DOCK,CKD,BLD,DRND,WO/SALT"
8040,"TOMATO JUC,CND,W/SALT","DOCK,CKD,BLD,DRND,WO/SALT"
1428,"TURNIPS,RAW","CELERY,RAW"
1428,"TURNIPS,RAW","CELERY,RAW"
5753,"WATERCRESS,RAW","LETTUCE,GRN LEAF,RAW"
3436,"WATERCRESS,RAW","SALSIFY,(VEG OYSTER),RAW"
5079,"YAM,RAW","EGGPLANT,RAW"
5079,"YAM,RAW","EGGPLANT,RAW"
8593,"BORAGE,RAW","PEAS,GRN,FRZ,CKD,BLD,DRND,WO/SALT"
5392,"BORAGE,RAW","LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,WO/SALT"
2556,"SHALLOTS,FREEZE-DRIED","CORN,SWT,YEL,CND,CRM STYLE,REG PK"
2592,"SHALLOTS,FREEZE-DRIED","COWPEAS,LEAFY TIPS,CKD,BLD,DRND,WO/SALT"
3889,"RADISH SEEDS,SPROUTED,RAW","JUTE,POTHERB,CKD,BLD,DRND,W/SALT"
3889,"RADISH SEEDS,SPROUTED,RAW","JUTE,POTHERB,CKD,BLD,DRND,W/SALT"
8008,"PEPPERS,SWT,RED,RAW","CORN,SWT,YEL,FRZ,KRNLS ON COB,UNPREP"
8008,"PEPPERS,SWT,RED,RAW","CORN,SWT,YEL,FRZ,KRNLS ON COB,UNPREP"
7081,Catsup,"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT"
7082,Catsup,"POTATOES,HASH BROWN,FRZ,PLN,PREP,PAN FRIED IN CANOLA OIL"
568,"TOMATOES,SUN-DRIED","SWEET POTATO,RAW,UNPREP"
568,"TOMATOES,SUN-DRIED","SWEET POTATO,RAW,UNPREP"
1354,ALMONDS,"CHIA SEEDS,DRIED"
1354,ALMONDS,"CHIA SEEDS,DRIED"
3147,"COCONUT CRM,RAW (LIQ EXPRESSED FROM GRATED MEAT)","SEEDS,BREADNUT TREE SEEDS,RAW"
3147,"COCONUT CRM,RAW (LIQ EXPRESSED FROM GRATED MEAT)","SEEDS,BREADNUT TREE SEEDS,RAW"
1215,PECANS,"PISTACHIO NUTS,RAW"
1215,PECANS,"PISTACHIO NUTS,RAW"
8770,"BEEF,GRASS-FED,GROUND,RAW","BEEF,CHUCK,ARM POT RST,LN,1/8"" FAT,ALL GRDS,CKD,BRSD"
5495,"BEEF,GRASS-FED,GROUND,RAW","BEEF,ASTRLN,GRSSFD,LN,TPSRLN CAPOFF STK/RST,BNLS,LN & FT,RAW"
6668,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW","BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD"
6668,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW","BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD"
8765,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,CHOIC,RAW","BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD"
8765,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,CHOIC,RAW","BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD"
6784,"BEEF,CHUCK,UND BL POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD","BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD"
6784,"BEEF,CHUCK,UND BL POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD","BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD"
6591,"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD","BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW"
6591,"BEEF,RND,BTTM RND,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD","BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW"
5614,"BEEF,RND,TOP RND,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW"
5614,"BEEF,RND,TOP RND,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW"
8293,"BASS,STRIPED,RAW","TUNA,FRESH,SKIPJACK,RAW"
8293,"BASS,STRIPED,RAW","TUNA,FRESH,SKIPJACK,RAW"
8731,"CATFISH,CHANNEL,WILD,RAW","DOLPHINFISH,RAW"
8731,"CATFISH,CHANNEL,WILD,RAW","DOLPHINFISH,RAW"
5435,"HADDOCK,RAW","PIKE,NORTHERN,RAW"
5435,"HADDOCK,RAW","PIKE,NORTHERN,RAW"
8750,"LINGCOD,RAW","PERCH,MIXED SPECIES,RAW"
4219,"LINGCOD,RAW","TUNA,SKIPJACK,FRSH,CKD,DRY HEAT"
4097,"SWORDFISH,RAW","OYSTER,EASTERN,FARMED,CKD,DRY HEAT"
4097,"SWORDFISH,RAW","OYSTER,EASTERN,FARMED,CKD,DRY HEAT"
5575,"TROUT,RAINBOW,WILD,RAW","TILEFISH,COOKED,DRY HEAT"
5575,"TROUT,RAINBOW,WILD,RAW","TILEFISH,COOKED,DRY HEAT"
505,"CHICKPEAS (GARBANZO BNS,BENGAL GM),MATURE SEEDS,RAW","BEANS,MATURE,RED KIDNEY,CND,SOL & LIQ,LO NA"
505,"CHICKPEAS (GARBANZO BNS,BENGAL GM),MATURE SEEDS,RAW","BEANS,MATURE,RED KIDNEY,CND,SOL & LIQ,LO NA"
6105,"MOTHBEANS,MATURE SEEDS,RAW","SOYBEANS,MATURE SEEDS,RSTED,NO SALT ADDED"
6105,"MOTHBEANS,MATURE SEEDS,RAW","SOYBEANS,MATURE SEEDS,RSTED,NO SALT ADDED"
1248,"PEANUTS,SPANISH,RAW","BEANS,PINTO,CND,DRND SOL"
1248,"PEANUTS,SPANISH,RAW","BEANS,PINTO,CND,DRND SOL"
5365,SOY SAU MADE FROM SOY (TAMARI),"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,RAW"
5365,SOY SAU MADE FROM SOY (TAMARI),"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,RAW"
5402,"FALAFEL,HOME-PREPARED","LOMA LINDA LINKETTS,CND,UNPREP"
5402,"FALAFEL,HOME-PREPARED","LOMA LINDA LINKETTS,CND,UNPREP"
5656,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4""FAT,CHOIC,RAW","LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN,1/8""FAT,CKD,RSTD"
5656,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4""FAT,CHOIC,RAW","LAMB,AUS,IMP,FRSH,LEG,SHANK HALF,LN,1/8""FAT,CKD,RSTD"
4037,"BARLEY,HULLED","WHEAT BRAN,CRUDE"
4037,"BARLEY,HULLED","WHEAT BRAN,CRUDE"
4666,"RICE,BROWN,LONG-GRAIN,RAW","WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,UNBLEACHED,ENR"
4666,"RICE,BROWN,LONG-GRAIN,RAW","WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,UNBLEACHED,ENR"
4402,"RICE FLOUR,WHITE","BULGUR,COOKED"
4402,"RICE FLOUR,WHITE","BULGUR,COOKED"
3751,"WHEAT,DURUM","WHEAT,SOFT RED WINTER"
3727,"WHEAT,DURUM",BARLEY FLOUR OR MEAL
8145,"WHEAT FLR,WHITE,BREAD,ENR","SORGHUM FLR,WHOLE-GRAIN"
8145,"WHEAT FLR,WHITE,BREAD,ENR","SORGHUM FLR,WHOLE-GRAIN"
4612,"WHEAT FLR,WHITE,CAKE,ENR","SPAGHETTI,SPINACH,DRY"
4612,"WHEAT FLR,WHITE,CAKE,ENR","SPAGHETTI,SPINACH,DRY"
