,NDB_No,Shrt_Desc,nutri_values,nutri_scores,nutri_scores_uri
1157,http://idea.rpi.edu/heals/kb/usda#05725,"TURKEY,DRUMSTK,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",-1,a,https://w3id.org/um/ken4256/nutriscore/a
1158,http://idea.rpi.edu/heals/kb/usda#05726,"TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW",-2,a,https://w3id.org/um/ken4256/nutriscore/a
1159,http://idea.rpi.edu/heals/kb/usda#05727,"TURKEY,RTL PARTS,ENHANCED,BREAST,MEAT & SKN,RAW",-2,a,https://w3id.org/um/ken4256/nutriscore/a
1160,http://idea.rpi.edu/heals/kb/usda#05728,"TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",-1,a,https://w3id.org/um/ken4256/nutriscore/a
1161,http://idea.rpi.edu/heals/kb/usda#05729,"TURKEY,WING,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW",-2,a,https://w3id.org/um/ken4256/nutriscore/a
1162,http://idea.rpi.edu/heals/kb/usda#05730,"TURKEY,WING,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",-2,a,https://w3id.org/um/ken4256/nutriscore/a
1163,http://idea.rpi.edu/heals/kb/usda#05732,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,RAW",-3,a,https://w3id.org/um/ken4256/nutriscore/a
1164,http://idea.rpi.edu/heals/kb/usda#05733,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,CKD,RSTD",-1,a,https://w3id.org/um/ken4256/nutriscore/a
1165,http://idea.rpi.edu/heals/kb/usda#05734,"TURKEY,RTL PARTS,WING,MEAT & SKN,RAW",0,b,https://w3id.org/um/ken4256/nutriscore/b
1166,http://idea.rpi.edu/heals/kb/usda#05735,"TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD",1,b,https://w3id.org/um/ken4256/nutriscore/b
1167,http://idea.rpi.edu/heals/kb/usda#05736,"TURKEY,RTL PARTS,DRUMSTK,MEAT & SKN,RAW",-3,a,https://w3id.org/um/ken4256/nutriscore/a
