,Food label,Substitution label
16241,"SEAWEED,AGAR,RAW","GARLIC,RAW"
16263,"SEAWEED,AGAR,RAW","MUSHROOMS,WHITE,MICROWAVED"
2613,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW","PEAS,EDIBLE-PODDED,CKD,BLD,DRND,W/SALT"
6352,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW","SWAMP CABBAGE,CKD,BLD,DRND,WO/SALT"
8771,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW","SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT"
2867,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW","MUSHROOMS,SHIITAKE,RAW"
9585,"SWEET POTATO LEAVES,RAW","COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,UNPREP"
15897,"TURNIPS,RAW","ARTICHOKES,(GLOBE OR FRENCH),RAW"
15872,"TURNIPS,RAW","SHALLOTS,RAW"
10158,"TURNIP GREENS,RAW","ENDIVE,RAW"
10153,"TURNIP GREENS,RAW","BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW"
8961,"WATERCRESS,RAW","POTATOES,RAW,SKIN"
11584,"WATERCRESS,RAW","SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT"
16851,"BORAGE,RAW","MUSHROOMS,OYSTER,RAW"
9281,"BORAGE,RAW","PEAS,GRN,CND,NO SALT,DRND SOL"
13375,"PEPPERS,JALAPENO,CND,SOL&LIQUIDS","RUTABAGAS,RAW"
12174,"PEPPERS,JALAPENO,CND,SOL&LIQUIDS","CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,W/SALT"
5115,"SHALLOTS,FREEZE-DRIED","LENTILS,SPROUTED,RAW"
5162,"SHALLOTS,FREEZE-DRIED","CARROTS,BABY,RAW"
16477,"RADISH SEEDS,SPROUTED,RAW","PARSLEY,FRSH"
7815,"RADISH SEEDS,SPROUTED,RAW","CHICORY GREENS,RAW"
10501,Catsup,"TARO LEAVES,CKD,STMD,WO/SALT"
14331,Catsup,"PEPPERS,HOT CHILI,RED,RAW"
6432,"PEPPERS,SWEET,YELLOW,RAW","EPAZOTE,RAW"
6433,"PEPPERS,SWEET,YELLOW,RAW","SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN"
16199,"PEPPERS,SERRANO,RAW","JUTE,POTHERB,CKD,BLD,DRND,WO/SALT"
6707,"PEPPERS,SERRANO,RAW","EDAMAME,FRZ,PREP"
11140,"BEEF,GRASS-FED,GROUND,RAW","BEEF,GRASS-FED,GROUND,RAW"
11143,"BEEF,GRASS-FED,GROUND,RAW","BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FT,A GRDS,CKD,GRILLED"
18223,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW"
18229,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW","BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW"
