,Food label,Substitution label
3,"SPICES,CARDAMOM","MARJORAM,DRIED"
8,"SPICES,CARDAMOM","THYME,FRSH"
1,CELERY SEED,ONION POWDER
3,CELERY SEED,"PEPPERMINT,FRESH"
0,CHILI POWDER,"PEPPER,BLACK"
3,CHILI POWDER,"PEPPER,RED OR CAYENNE"
0,"CLOVES,GROUND","SPICES,CARDAMOM"
1,"CLOVES,GROUND","MARJORAM,DRIED"
6,"CORIANDER LEAF,DRIED","THYME,FRSH"
7,"CORIANDER LEAF,DRIED","MARJORAM,DRIED"
0,CUMIN SEED,"SPICES,OREGANO,DRIED"
5,CUMIN SEED,"MARJORAM,DRIED"
2,"DILL WEED,DRIED","PEPPERMINT,FRESH"
3,"DILL WEED,DRIED",CORIANDER SEED
8,GARLIC POWDER,"MARJORAM,DRIED"
9,GARLIC POWDER,"SPICES,OREGANO,DRIED"
0,"GINGER,GROUND","SPICES,TARRAGON,DRIED"
8,"GINGER,GROUND","PEPPERMINT,FRESH"
0,"NUTMEG,GROUND","PEPPERMINT,FRESH"
3,"NUTMEG,GROUND","ROSEMARY,FRESH"
0,ONION POWDER,"SPICES,OREGANO,DRIED"
4,ONION POWDER,"PEPPERMINT,FRESH"
0,"SPICES,OREGANO,DRIED","SPICES,TARRAGON,DRIED"
2,"SPICES,OREGANO,DRIED","THYME,FRSH"
0,POULTRY SEASONING,GARLIC POWDER
4,POULTRY SEASONING,"PEPPERMINT,FRESH"
0,PUMPKIN PIE SPICE,"ALLSPICE,GROUND"
5,PUMPKIN PIE SPICE,"THYME,FRSH"
1,"SAGE,GROUND","SAVORY,GROUND"
2,"SAGE,GROUND","PEPPERMINT,FRESH"
4,"SAVORY,GROUND","SPEARMINT,DRIED"
5,"SAVORY,GROUND","SPICES,TARRAGON,DRIED"
0,"SPICES,TARRAGON,DRIED","SPICES,OREGANO,DRIED"
5,"SPICES,TARRAGON,DRIED","PEPPERMINT,FRESH"
0,"BASIL,FRESH","CORIANDER LEAF,DRIED"
1,"BASIL,FRESH","MARJORAM,DRIED"
4,"VINEGAR,CIDER","CORIANDER LEAF,DRIED"
9,"VINEGAR,CIDER","MARJORAM,DRIED"
4,"ROSEMARY,FRESH",ONION POWDER
5,"ROSEMARY,FRESH","THYME,FRSH"
0,"SPEARMINT,DRIED","SPICES,OREGANO,DRIED"
1,"SPEARMINT,DRIED","PEPPERMINT,FRESH"
0,"VINEGAR,BALSAMIC","ROSEMARY,FRESH"
2,"VINEGAR,BALSAMIC","THYME,FRSH"
5,"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO","INF FORMULA,MEAD JOHNSON,PROSOBEE,W/ IRON,RTF"
8,"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO","BABYFOOD,CRL,BARLEY,PREP W/WHL MILK"
8,"INF FOR,ME JOH,ENF,NUTR LIPIL,W/ IRO,PDR,NOT RE,W/ ARA & DHA","BABYFOOD,VEG,MIX VEG STR"
9,"INF FOR,ME JOH,ENF,NUTR LIPIL,W/ IRO,PDR,NOT RE,W/ ARA & DHA","INF FORMULA,MEAD JOHNSON,ENFAMI,PREMATURE,20 CAL RTF LO IRON"
7,"INF FORMU,ME JOHNS,ENFAM,NUTRA,LIPI,W/ IRO,RTF,W/ ARA & DHA","BABYFOOD,APPLS W/HAM,STR"
9,"INF FORMU,ME JOHNS,ENFAM,NUTRA,LIPI,W/ IRO,RTF,W/ ARA & DHA","BABYFOOD,CARROTS&BF,STR"
0,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH","BABYFOOD,DSSRT,BANANA YOGURT,STR"
4,"INF FORMU, ME JOHNS, ENFAM, ENFA LIP, W/IRO, POW, W/AR/AN DH","INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA"
0,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, PDR, NOT RECON","INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,PDR"
6,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, PDR, NOT RECON","BABYFOOD,MEAT,CHICK,STR"
7,"INF FORM,MEAD JOHN,NEXT STEP,PROS LIPIL,PDR,W/ ARA & DHA","BABYFOOD,GRAPE JUC,NO SUGAR,CND"
9,"INF FORM,MEAD JOHN,NEXT STEP,PROS LIPIL,PDR,W/ ARA & DHA","BABYFOOD,VEG,CARROTS,STR"
1,"INF FORMULA,GERBER,GOOD START,PROTECT PLUS,RTF","BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR"
3,"INF FORMULA,GERBER,GOOD START,PROTECT PLUS,RTF","INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,RTF"
0,"INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT","BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR"
3,"INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT","BABYFOOD,DINNER,CHICK SOUP,STR"
0,LARD,"OIL,SESAME,SALAD OR COOKING"
3,LARD,"OIL,CANOLA"
1,"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)","SHORTENING,VEG,HOUSEHOLD,COMP"
4,"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)","OIL,CANOLA"
0,"OIL,PNUT,SALAD OR COOKING","OIL,COCNT"
5,"OIL,PNUT,SALAD OR COOKING","OIL,CANOLA"
0,"OIL,COCNT","OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING"
5,"OIL,COCNT","OIL,CANOLA"
0,"OIL,OLIVE,SALAD OR COOKING","OIL,COCNT"
8,"OIL,OLIVE,SALAD OR COOKING","OIL,CANOLA"
0,"OIL,SESAME,SALAD OR COOKING",LARD
5,"OIL,SESAME,SALAD OR COOKING","OIL,CANOLA"
0,"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)","VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT"
3,"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)","OIL,CTTNSD,SALAD OR COOKING"
0,"MARGARINE,REG,HARD,SOYBN (HYDR)","USDA CMDTY FD,OIL,VEG,SOYBN,REFINED"
1,"MARGARINE,REG,HARD,SOYBN (HYDR)","OIL,CANOLA"
0,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","OIL,COCNT"
1,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","OIL,CANOLA"
0,"SHORTENING FRYING (HVY DUTY),PALM (HYDR)","OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING"
4,"SHORTENING FRYING (HVY DUTY),PALM (HYDR)","OIL,CANOLA"
0,"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%","SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT"
6,"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%","OIL,INDUSTRIAL,PALM KERNEL (HYDROG) FOR WHIPPED TOPPINGS"
6,"FISH OIL,COD LIVER","MARGARINE-LIKE SPRD,SMART BALANCE LT BUTTERY SPRD"
8,"FISH OIL,COD LIVER","OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG"
0,"SHORTENING,VEG,HOUSEHOLD,COMP","OIL,CANOLA"
4,"SHORTENING,VEG,HOUSEHOLD,COMP",LARD
0,"SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,SESAME SD DRSNG,REG"
5,"SALAD DRSNG,RANCH DRSNG,COMM,REG","SALAD DRSNG,RUSSIAN DRSNG"
